Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Mar,1,Wednesday,Chevrolet,Urban,Thursday,Mar,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,2233,12,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,Collision,53473.97,
Feb,3,Tuesday,Accura,Urban,Friday,Feb,3,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,2236,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1945.83,
Jan,5,Tuesday,Honda,Urban,Monday,Feb,1,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2237,13,400,2,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,62623.33,
Feb,1,Wednesday,Honda,Urban,Friday,Feb,1,Female,Single,28,Policy Holder,Sport - Collision,Sport,more than 69000,2248,6,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,3278.44,
Mar,2,Thursday,Toyota,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2250,6,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,59882.82,
Aug,5,Tuesday,Pontiac,Urban,Monday,Sep,1,Male,Married,38,Third Party,Sedan - Liability,Sport,20000 to 29000,2268,11,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1711.18,
Mar,4,Thursday,Toyota,Urban,Friday,Mar,4,Male,Married,73,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2272,1,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,89513.94,
Jun,5,Friday,VW,Urban,Monday,Jul,3,Female,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,2278,12,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,77480.86,
Aug,3,Monday,Chevrolet,Urban,Monday,Aug,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2282,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,2134.08,
Aug,3,Tuesday,Honda,Urban,Wednesday,Nov,1,Male,Married,64,Third Party,Sedan - Collision,Sedan,20000 to 29000,2285,13,400,4,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,7981.68,
Jul,4,Thursday,Mazda,Urban,Tuesday,Aug,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,more than 69000,2289,1,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,67888.87,
Nov,4,Monday,Toyota,Urban,Wednesday,Dec,2,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2294,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,78176.82,
May,4,Friday,Mazda,Urban,Thursday,Jun,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2298,1,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,4908.09,
Jun,1,Friday,Mazda,Urban,Friday,Jun,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2301,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,94569.88,
Dec,3,Friday,Chevrolet,Urban,Friday,Dec,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,40000 to 59000,2303,4,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,6482.05,
Jan,2,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2306,10,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,71644.64,
Jan,4,Saturday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2308,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,2591.04,
Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2313,3,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,67608.93,
Mar,4,Friday,Honda,Urban,Monday,Apr,1,Female,Married,50,Policy Holder,Sport - Collision,Sport,more than 69000,2314,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,3307.17,
May,5,Tuesday,Mazda,Urban,Monday,Jun,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2317,16,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3759.44,
Dec,4,Sunday,Pontiac,Urban,Tuesday,Nov,3,Male,Divorced,32,Policy Holder,Sedan - Collision,Sedan,more than 69000,2326,1,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8869.79,
Oct,4,Sunday,Chevrolet,Urban,Wednesday,Nov,2,Female,Single,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,2327,16,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,41043.31,
Apr,4,Wednesday,Toyota,Rural,Tuesday,May,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2337,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,7513.11,
Apr,1,Thursday,Chevrolet,Urban,Thursday,Apr,1,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2338,5,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision,1283.15,
Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2342,15,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,7940.01,
Oct,5,Monday,Accura,Urban,Friday,Nov,1,Male,Single,29,Policy Holder,Utility - All Perils,Utility,more than 69000,2345,6,400,2,15 to 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,7524.85,
Oct,4,Thursday,Toyota,Urban,Thursday,Oct,4,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2346,16,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,6397.4,
Oct,2,Friday,Mazda,Urban,Thursday,Oct,4,Male,Married,26,Third Party,Sport - Collision,Sport,more than 69000,2349,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,2432.12,
Mar,4,Sunday,Pontiac,Rural,Monday,Mar,5,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2362,6,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1557.19,
Apr,3,Saturday,Mazda,Urban,Monday,Apr,3,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,2365,13,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,4093.71,
Nov,2,Wednesday,Pontiac,Urban,Monday,Nov,2,Female,Married,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,2368,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,4161.03,
Nov,2,Friday,Mazda,Rural,Monday,Nov,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2369,2,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2205.19,
Nov,2,Thursday,Chevrolet,Urban,Friday,Nov,3,Female,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2370,8,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,4332.05,
Jul,3,Friday,Pontiac,Urban,Thursday,Jul,3,Male,Married,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,2374,15,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,3434.7,
Apr,4,Monday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2378,2,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2239.16,
Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,5,Female,Single,65,Policy Holder,Sport - All Perils,Sport,20000 to 29000,2381,10,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,9342.01,
Nov,3,Monday,Mazda,Urban,Tuesday,Nov,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2382,3,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,3250.7,
Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2385,7,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1659.93,
Mar,5,Tuesday,Toyota,Urban,Tuesday,Apr,1,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2389,2,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,6249.23,
Jun,4,Friday,Honda,Urban,Friday,Jun,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,more than 69000,2394,11,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,56781.11,
Jun,4,Saturday,Honda,Urban,Monday,Jun,4,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2395,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,5556.84,
Jun,3,Wednesday,Mazda,Urban,Wednesday,Jun,3,Male,Single,31,Policy Holder,Sedan - Liability,Sport,less than 20000,2396,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,4799.84,
May,4,Friday,Pontiac,Urban,Thursday,Jun,1,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,2397,1,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,7896.34,
May,4,Wednesday,Toyota,Urban,Wednesday,May,4,Male,Married,53,Policy Holder,Sedan - Liability,Sport,more than 69000,2398,16,500,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability,17437.93,
Apr,2,Friday,Mazda,Urban,Tuesday,Apr,2,Male,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2407,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,4758.7,
Mar,5,Thursday,Pontiac,Urban,Thursday,Apr,3,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,2416,5,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision,5702.28,
Mar,1,Monday,Pontiac,Urban,Monday,Mar,1,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,2422,1,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,4674.07,
Mar,5,Tuesday,Mazda,Urban,Tuesday,Mar,5,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2428,4,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,4906.16,
Nov,3,Friday,Honda,Urban,Friday,Nov,3,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2435,14,400,3,more than 30,more than 30,none,7 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,7584.89,
Jun,4,Wednesday,Toyota,Urban,Friday,Aug,1,Male,Single,38,Third Party,Sedan - Collision,Sedan,30000 to 39000,2446,12,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,Internal,none,no change,1 vehicle,1994,Collision,55076.15,
Jun,3,Friday,Pontiac,Urban,Friday,Jun,3,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2448,3,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,2178.65,
Jun,1,Sunday,Mazda,Urban,Monday,Jun,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2450,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,719.06,
Mar,5,Tuesday,Honda,Urban,Tuesday,Mar,5,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2451,7,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,Internal,none,no change,1 vehicle,1994,Liability,1449.75,
Oct,5,Friday,Toyota,Urban,Monday,Nov,5,Male,Single,44,Policy Holder,Sedan - All Perils,Sedan,more than 69000,2461,3,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,All Perils,61925.73,
Sep,5,Thursday,Toyota,Rural,Friday,Sep,5,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,less than 20000,2462,4,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1557.55,
May,5,Saturday,Chevrolet,Urban,Tuesday,May,5,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,2464,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,6468.33,
Mar,3,Friday,Honda,Urban,Monday,Mar,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,2473,8,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,869.11,
Mar,2,Saturday,Mazda,Urban,Thursday,Mar,4,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2475,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,6639.96,
May,1,Sunday,Chevrolet,Urban,Monday,May,2,Male,Married,26,Third Party,Sedan - All Perils,Sedan,30000 to 39000,2479,2,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,34860.66,
May,2,Tuesday,Pontiac,Urban,Friday,May,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2483,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,68376.88,
Jun,4,Sunday,Toyota,Urban,Friday,Jul,1,Female,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2484,2,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,64486.41,
Aug,2,Tuesday,Mazda,Urban,Tuesday,Aug,2,Male,Married,34,Third Party,Sedan - All Perils,Sedan,more than 69000,2486,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,64606.05,
Oct,1,Monday,Chevrolet,Rural,Tuesday,Oct,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,more than 69000,2491,3,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3918.25,
Dec,2,Tuesday,Toyota,Urban,Wednesday,Dec,3,Male,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2493,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,2194.74,
Aug,5,Monday,Mazda,Rural,Friday,Sep,1,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2498,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,4232.83,
Apr,1,Friday,Pontiac,Urban,Friday,Apr,2,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,2501,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,6989.92,
Aug,1,Saturday,Mazda,Urban,Tuesday,Aug,2,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2506,9,400,1,more than 30,more than 30,1,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8829.68,
Oct,3,Monday,Honda,Urban,Monday,Oct,4,Male,Single,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2511,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,51099.71,
Dec,4,Thursday,Toyota,Rural,Thursday,Dec,5,Male,Single,45,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2523,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,13364.45,
Jan,4,Wednesday,Honda,Urban,Friday,Feb,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,2526,8,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,4552.72,
Dec,1,Thursday,Chevrolet,Rural,Thursday,Dec,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,more than 69000,2527,15,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,18254.5,
Feb,3,Thursday,Honda,Rural,Wednesday,Feb,4,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2534,10,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,56339.75,
Jan,4,Saturday,Toyota,Rural,Wednesday,Feb,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2535,6,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2578.94,
Nov,4,Wednesday,Mazda,Urban,Wednesday,Nov,4,Male,Married,59,Third Party,Sedan - Collision,Sedan,20000 to 29000,2537,6,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,54776.48,
Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,3,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2544,4,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1243.63,
Jul,3,Tuesday,Saturn,Urban,Thursday,Aug,1,Male,Married,58,Third Party,Sedan - All Perils,Sedan,40000 to 59000,2546,7,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,6742.05,
May,5,Tuesday,Pontiac,Urban,Friday,Jun,1,Male,Married,73,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2548,2,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,15698.47,
May,1,Wednesday,Toyota,Urban,Friday,May,1,Male,Divorced,65,Third Party,Sedan - Collision,Sedan,20000 to 29000,2560,7,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,53550.11,
Nov,2,Saturday,Mazda,Urban,Monday,Nov,3,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2563,15,400,2,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,12520.73,
Sep,2,Saturday,Honda,Urban,Monday,Sep,2,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2564,13,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,5334.12,
Aug,2,Thursday,Pontiac,Urban,Wednesday,Aug,3,Female,Single,44,Third Party,Sedan - Collision,Sedan,20000 to 29000,2566,14,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,2373.96,
Jul,3,Wednesday,Mercury,Rural,Thursday,Jul,4,Male,Married,55,Policy Holder,Utility - All Perils,Utility,30000 to 39000,2567,12,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,2680.27,
Nov,5,Wednesday,Toyota,Urban,Wednesday,Nov,5,Male,Single,20,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2570,2,400,1,more than 30,more than 30,1,2 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,16624.97,
Nov,3,Tuesday,Mazda,Rural,Wednesday,Nov,4,Female,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2579,11,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,2265,
Apr,3,Wednesday,Chevrolet,Urban,Wednesday,May,1,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,2580,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5845.46,
